epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,4178.8,0.59632,0.35493,0.99588,0.74261,0.94154,0.73753,0.61998,0.71057,0.73337,1.07154,0.0081685,0.0081685,0.0081685
187,4200.98,0.59045,0.36112,0.99077,0.74602,0.9379,0.73896,0.63133,0.66058,0.76961,1.05189,0.0081586,0.0081586,0.0081586
188,4223.33,0.59586,0.35799,0.988,0.74208,0.93102,0.73514,0.62015,0.70568,0.77029,1.07016,0.0081487,0.0081487,0.0081487
189,4245.5,0.5931,0.35512,0.99311,0.73825,0.93547,0.73566,0.63012,0.65458,0.88964,1.07898,0.0081388,0.0081388,0.0081388
190,4267.67,0.58624,0.35307,0.9858,0.74047,0.93879,0.74245,0.6266,0.69606,0.75984,1.08917,0.0081289,0.0081289,0.0081289
191,4289.87,0.58638,0.35557,0.98895,0.74035,0.92166,0.73149,0.62432,0.66708,0.82012,1.07297,0.008119,0.008119,0.008119
192,4312.05,0.58214,0.34785,0.98365,0.73963,0.90388,0.72339,0.6238,0.6452,0.87445,1.05561,0.0081091,0.0081091,0.0081091
193,4334.56,0.58623,0.35435,0.98715,0.74315,0.91699,0.72731,0.62406,0.65309,0.81292,1.06056,0.0080992,0.0080992,0.0080992
194,4356.84,0.58851,0.35132,0.99702,0.73829,0.92817,0.74706,0.60779,0.79129,0.71868,1.12662,0.0080893,0.0080893,0.0080893
195,4378.99,0.58824,0.35336,0.99259,0.74013,0.91348,0.728,0.62308,0.66483,0.84317,1.05428,0.0080794,0.0080794,0.0080794
196,4401.31,0.57856,0.3467,0.98231,0.74481,0.92398,0.72897,0.61491,0.71024,0.81281,1.06648,0.0080695,0.0080695,0.0080695
197,4423.45,0.5861,0.35437,0.98271,0.73878,0.92717,0.72889,0.6255,0.65579,0.84089,1.0435,0.0080596,0.0080596,0.0080596
198,4445.66,0.58342,0.34866,0.97684,0.7386,0.92055,0.72873,0.62257,0.66549,0.83377,1.04825,0.0080497,0.0080497,0.0080497
199,4468.01,0.58437,0.34763,0.97569,0.73513,0.92254,0.72394,0.62407,0.64105,0.88124,1.02778,0.0080398,0.0080398,0.0080398
200,4490.21,0.57771,0.34741,0.97507,0.74193,0.93143,0.73449,0.63218,0.64252,0.76198,1.03136,0.0080299,0.0080299,0.0080299
201,4512.54,0.58019,0.34906,0.9859,0.73839,0.93864,0.73641,0.63462,0.64088,0.77406,1.04591,0.00802,0.00802,0.00802
202,4534.69,0.57923,0.34699,0.98501,0.73719,0.93138,0.73437,0.63448,0.63762,0.8545,1.04845,0.0080101,0.0080101,0.0080101
203,4556.9,0.58172,0.34961,0.99068,0.73882,0.91217,0.72711,0.62759,0.63961,0.8683,1.05203,0.0080002,0.0080002,0.0080002
204,4579.11,0.57841,0.34579,0.98493,0.73506,0.91896,0.73131,0.63008,0.63765,0.91066,1.0512,0.0079903,0.0079903,0.0079903
205,4601.27,0.5772,0.34438,0.98191,0.73082,0.89812,0.72699,0.62793,0.62462,0.91632,1.04824,0.0079804,0.0079804,0.0079804
206,4623.41,0.57365,0.34507,0.97788,0.73938,0.91958,0.7295,0.62517,0.64976,0.81693,1.04342,0.0079705,0.0079705,0.0079705
207,4645.57,0.58182,0.34761,0.98215,0.73673,0.91861,0.72496,0.62703,0.62879,0.82604,1.03281,0.0079606,0.0079606,0.0079606
208,4667.69,0.57355,0.34186,0.97885,0.67734,0.96376,0.72328,0.6253,0.63839,0.94768,1.05645,0.0079507,0.0079507,0.0079507
209,4689.88,0.57814,0.34529,0.97641,0.73514,0.92152,0.72841,0.63012,0.63771,0.89318,1.04734,0.0079408,0.0079408,0.0079408
210,4712.03,0.5771,0.34185,0.97981,0.74139,0.9249,0.73022,0.62535,0.66386,0.81686,1.05174,0.0079309,0.0079309,0.0079309
211,4734.16,0.57092,0.34511,0.97448,0.74077,0.92271,0.72973,0.63136,0.63851,0.81939,1.03625,0.007921,0.007921,0.007921
212,4756.5,0.57191,0.34475,0.97108,0.70054,0.91168,0.70245,0.60274,0.64059,0.89477,1.04608,0.0079111,0.0079111,0.0079111
213,4778.63,0.57306,0.3437,0.97806,0.73476,0.89953,0.72071,0.61987,0.65163,0.96209,1.05254,0.0079012,0.0079012,0.0079012
214,4800.76,0.57239,0.34457,0.9724,0.73746,0.91932,0.72513,0.62694,0.63646,0.94989,1.04808,0.0078913,0.0078913,0.0078913
215,4822.91,0.56878,0.34362,0.9737,0.73991,0.91855,0.72371,0.60481,0.73431,0.83474,1.07571,0.0078814,0.0078814,0.0078814
216,4845.1,0.57902,0.34553,0.977,0.74182,0.93237,0.72867,0.62588,0.65075,0.77688,1.04175,0.0078715,0.0078715,0.0078715
